residence.en,birth,sex,decade,sum_langs,lect,glottocode,branch,census_1926,expedition.name,present_in_multidagestan
Archib,NA,м,NA,3,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,NA,ж,NA,0,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,NA,ж,NA,1,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1900,м,1900,1,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1900,м,1900,1,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1900,ж,1900,1,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1900,ж,1900,2,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1900,ж,1900,1,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1900,ж,1900,1,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1901,ж,1900,1,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1902,м,1900,3,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1903,ж,1900,2,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1903,м,1900,3,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1904,ж,1900,2,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1905,ж,1900,2,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1905,ж,1900,1,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1905,ж,1900,2,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1905,ж,1900,1,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1905,м,1900,2,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1905,м,1900,3,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1906,м,1900,3,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1906,м,1900,3,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1907,м,1900,3,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1908,ж,1900,0,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1908,м,1900,3,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1908,ж,1900,1,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1908,м,1900,3,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
Archib,1908,ж,1900,2,Archi,arch1244,Lezgic,856,"Archib, Chitab, Shalib",yes
