lect,census_1926,present_in_multidagestan
Hinuq,150,yes
Chechen,238,no
Hunzib,263,no
Sagada Tsez,335,no
Khuduts Dargwa,389,no
Shari Dargwa,407,no
Amuzgi-Shiri Dargwa,438,no
Amukh Dargwa,499,no
Chakhrizhi-Sanakari Dargwa,535,no
Qunqi Dargwa,647,no
Tokita Karata,657,yes
Mehweb Dargwa,710,yes
Itsari-Sanzhi Dargwa,733,no
Archi,856,yes
Koshan Aghul,986,no
Khvarshi,1026,no
Lower Andi,1053,no
Gdym-Fiy Lezgian,1096,yes
Chirag Dargwa,1113,no
Bezhta,1159,yes
Godoberi,1197,no
Nogai,1200,no
Tat,1436,no
Shukty-Gapshima Dargwa,1633,yes
Botlikh,1694,no
South Akhvakh,1717,no
North Akhvakh,2216,yes
Tsez,2712,yes
Bagvalal,3052,yes
Tsakhur,3319,yes
Kubachi-Ashti Dargwa,3502,yes
Chamalal,3651,no
Kadar Dargwa,3723,yes
Borch-Khnov Rutul,3792,yes
Tindi,4128,no
Karata,4763,yes
Upper Andi,6484,yes
Rutul,6539,yes
Usisha-Butri Dargwa,6985,no
Aghul,7272,yes
Sirhwa-Tanti Dargwa,10426,yes
Kaytag Dargwa,13236,yes
Tsudaqar Dargwa,14258,yes
Muira Dargwa,15872,yes
Tabasaran,32273,yes
Lak,38607,yes
Azerbaijani,39547,yes
Nuclear North Dargwa,50241,yes
Kumyk,61357,yes
Lezgian,88349,yes
Avar,124211,yes
